s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1069.342247,542.032994,160.148725,0.276179,0.675940,-0.000159,-0.107933,0.000684,-0.000010,0.000462,-7.089905,8.009243,0.000462,-0.000084,0.000679
1071.341018,543.591427,161.400272,0.276523,0.677285,-0.000187,-0.107084,0.000661,-0.000018,0.000387,-7.051028,8.020736,0.000387,-0.000089,0.000655
1073.339788,545.148205,162.653877,0.276937,0.678583,-0.000228,-0.106384,0.000638,-0.000023,0.000314,-7.016263,8.036401,0.000314,-0.000090,0.000632
1075.338559,546.703382,163.909468,0.277439,0.679837,-0.000275,-0.105826,0.000616,-0.000024,0.000244,-6.987414,8.059829,0.000244,-0.000089,0.000610
1077.337329,548.257013,165.166971,0.278035,0.681044,-0.000322,-0.105402,0.000593,-0.000023,0.000181,-6.963243,8.089507,0.000181,-0.000085,0.000587
1079.336100,549.809151,166.426315,0.278723,0.682208,-0.000365,-0.105096,0.000571,-0.000020,0.000126,-6.944452,8.122495,0.000126,-0.000079,0.000566
1081.334870,551.359852,167.687430,0.279487,0.683327,-0.000398,-0.104888,0.000549,-0.000014,0.000081,-6.932422,8.157106,0.000082,-0.000072,0.000545
1083.333641,552.909167,168.950247,0.280307,0.684403,-0.000420,-0.104759,0.000528,-0.000007,0.000048,-6.924802,8.190737,0.000048,-0.000063,0.000524
1085.332412,554.457150,170.214696,0.281157,0.685436,-0.000427,-0.104686,0.000506,0.000000,0.000025,-6.918885,8.221966,0.000025,-0.000052,0.000504
1087.331182,556.003852,171.480711,0.282003,0.686427,-0.000417,-0.104651,0.000485,0.000009,0.000011,-6.912435,8.242069,0.000011,-0.000042,0.000484
1089.329953,557.549326,172.748226,0.282814,0.687376,-0.000390,-0.104637,0.000464,0.000018,0.000003,-6.902112,8.254904,0.000003,-0.000031,0.000464
1091.328723,559.093622,174.017176,0.283553,0.688284,-0.000346,-0.104635,0.000444,0.000026,-0.000001,-6.887216,8.263947,-0.000001,-0.000020,0.000444
1093.327494,560.636791,175.287495,0.284187,0.689152,-0.000286,-0.104639,0.000424,0.000034,-0.000002,-6.869148,8.269166,-0.000002,-0.000011,0.000425
1095.326264,562.178883,176.559123,0.284687,0.689980,-0.000213,-0.104644,0.000404,0.000040,-0.000003,-6.849510,8.271564,-0.000003,-0.000003,0.000406
1097.325035,563.719947,177.831995,0.285031,0.690768,-0.000130,-0.104652,0.000385,0.000043,-0.000005,-6.831112,8.270959,-0.000005,0.000003,0.000387
