s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
3707.649615,-19.484425,-2036.313196,96.150368,5.409714,0.100066,-0.000076,-0.005182,0.003239,-0.001268,-4.494510,4.349670,-0.000750,0.003239,-0.005156
3709.649426,-18.214851,-2037.844487,95.944150,5.399601,0.106537,-0.002432,-0.004932,0.003233,-0.001088,-4.483646,4.240715,-0.000564,0.003245,-0.004896
3711.649238,-16.961296,-2039.387153,95.725105,5.390005,0.112952,-0.004441,-0.004665,0.003182,-0.000921,-4.470243,4.143901,-0.000395,0.003203,-0.004622
3713.649049,-15.723071,-2040.940322,95.493439,5.380960,0.119228,-0.006137,-0.004380,0.003094,-0.000775,-4.459321,4.058873,-0.000254,0.003120,-0.004330
3715.648860,-14.499392,-2042.503113,95.249508,5.372508,0.125297,-0.007567,-0.004072,0.002976,-0.000656,-4.452623,3.984740,-0.000147,0.003007,-0.004018
3717.648671,-13.289372,-2044.074631,94.993781,5.364700,0.131111,-0.008788,-0.003737,0.002838,-0.000566,-4.450503,3.919751,-0.000077,0.002871,-0.003679
3719.648482,-12.092007,-2045.653953,94.726808,5.357595,0.136637,-0.009857,-0.003369,0.002689,-0.000503,-4.452666,3.861776,-0.000044,0.002721,-0.003311
3721.648293,-10.906164,-2047.240120,94.449186,5.351263,0.141859,-0.010822,-0.002964,0.002534,-0.000462,-4.458375,3.811104,-0.000043,0.002565,-0.002906
3723.648104,-9.730571,-2048.832120,94.161535,5.345784,0.146769,-0.011721,-0.002517,0.002377,-0.000437,-4.464756,3.768421,-0.000069,0.002406,-0.002461
3725.647915,-8.563799,-2050.428876,93.864477,5.341245,0.151369,-0.012576,-0.002023,0.002223,-0.000418,-4.471574,3.733926,-0.000113,0.002247,-0.001971
3727.647726,-7.404253,-2052.029234,93.558631,5.337746,0.155660,-0.013391,-0.001477,0.002069,-0.000397,-4.483718,3.704950,-0.000168,0.002088,-0.001432
3729.647537,-6.250159,-2053.631949,93.244612,5.335393,0.159643,-0.014154,-0.000876,0.001915,-0.000366,-4.508590,3.678501,-0.000227,0.001927,-0.000838
3731.647348,-5.099551,-2055.235673,92.923036,5.334302,0.163313,-0.014840,-0.000215,0.001756,-0.000320,-4.551916,3.651343,-0.000285,0.001759,-0.000186
3733.647159,-3.950263,-2056.838940,92.594538,5.334597,0.166656,-0.015413,0.000509,0.001588,-0.000253,-4.616722,3.621298,-0.000338,0.001580,0.000527
3735.646970,-2.799920,-2058.440156,92.259786,5.336406,0.169650,-0.015835,0.001300,0.001407,-0.000168,-4.703164,3.586539,-0.000388,0.001386,0.001303
3737.646781,-1.645938,-2060.037582,91.919501,5.339864,0.172264,-0.016072,0.002159,0.001208,-0.000069,-4.810895,3.544760,-0.000439,0.001173,0.002146
3739.646592,-0.485521,-2061.629317,91.574471,5.345109,0.174461,-0.016107,0.003087,0.000989,0.000034,-4.936878,3.493194,-0.000501,0.000940,0.003055
3741.646403,0.684329,-2063.213280,91.225560,5.352279,0.176198,-0.015945,0.004084,0.000749,0.000128,-5.075218,3.429690,-0.000588,0.000685,0.004033
3743.646214,1.866798,-2064.787188,90.873713,5.361514,0.177437,-0.015625,0.005151,0.000490,0.000192,-5.221240,3.352658,-0.000717,0.000410,0.005077
3745.646025,3.065241,-2066.348529,90.519948,5.372948,0.178142,-0.015227,0.006285,0.000215,0.000207,-5.372080,3.258542,-0.000907,0.000121,0.006188
3747.645836,4.283148,-2067.894536,90.165341,5.386714,0.178290,-0.014871,0.007482,-0.000067,0.000150,-5.528103,3.145728,-0.001177,-0.000177,0.007362
3749.645647,5.524108,-2069.422155,89.810999,5.402934,0.177873,-0.014717,0.008739,-0.000350,0.000004,-5.686199,3.014455,-0.001542,-0.000476,0.008595
3751.645458,6.791754,-2070.928015,89.458026,5.421720,0.176903,-0.014955,0.010049,-0.000620,-0.000241,-5.834913,2.870739,-0.002010,-0.000767,0.009882
3753.645269,8.089707,-2072.408396,89.107475,5.443172,0.175419,-0.015780,0.011405,-0.000865,-0.000584,-5.966016,2.724716,-0.002575,-0.001042,0.011215
