,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
54,107.998232,61.089069,-3.294566,0.001447,1.776385,-0.762169,-14.782801,-0.610325,1.917167
55,109.998199,61.139266,-3.291818,0.001298,1.292837,-0.782133,-15.502132,-0.582072,1.949877
56,111.998167,61.173245,-3.289391,0.001127,0.786098,-0.801160,-16.164572,-0.552212,1.982565
57,113.998134,61.190301,-3.287328,0.000933,0.257915,-0.819204,-16.769344,-0.520724,2.015241
58,115.998101,61.189778,-3.285676,0.000714,-0.289969,-0.836217,-17.315774,-0.487589,2.047913
59,117.998068,61.171057,-3.284490,0.000467,-0.855812,-0.852150,-17.803150,-0.452789,2.080590
60,119.998036,61.133562,-3.283829,0.000189,-1.437870,-0.866954,-18.230848,-0.416303,2.113285
61,121.998003,61.076754,-3.283759,-0.000125,-2.034398,-0.880576,-18.598323,-0.378117,2.146005
62,123.997970,61.000132,-3.284354,-0.000477,-2.643644,-0.892962,-18.905016,-0.338210,2.178763
63,125.997937,60.903230,-3.285694,-0.000871,-3.263853,-0.904057,-19.150423,-0.296565,2.211570
64,127.997905,60.785615,-3.287867,-0.001311,-3.893261,-0.913805,-19.334157,-0.253165,2.244437
65,129.997872,60.646890,-3.290969,-0.001801,-4.530094,-0.922143,-19.455891,-0.207994,2.277375
66,131.997839,60.486689,-3.295104,-0.002343,-5.172567,-0.929012,-19.515333,-0.161034,2.310397
67,133.997806,60.304680,-3.300380,-0.002941,-5.818881,-0.934345,-19.512284,-0.112269,2.343515
68,135.997774,60.100563,-3.306908,-0.003596,-6.467223,-0.938075,-19.446587,-0.061682,2.376743
69,137.997741,59.874069,-3.314805,-0.004309,-7.115759,-0.940132,-19.318186,-0.009257,2.410092
70,139.997708,59.624964,-3.324189,-0.005081,-7.762638,-0.940442,-19.127096,0.045025,2.443578
71,141.997675,59.353045,-3.335176,-0.005911,-8.405985,-0.938928,-18.873412,0.101180,2.477213
72,143.997643,59.058146,-3.347883,-0.006798,-9.043898,-0.935508,-18.557333,0.159225,2.511013
73,145.997610,58.740135,-3.362421,-0.007738,-9.674449,-0.930098,-18.179139,0.219178,2.544991
74,147.997577,58.398918,-3.378890,-0.008726,-10.295680,-0.922608,-17.739156,0.281058,2.579164
75,149.997544,58.034441,-3.397378,-0.009754,-10.905598,-0.912944,-17.237794,0.344884,2.613546
76,151.997512,57.646690,-3.417960,-0.010814,-11.502173,-0.901008,-16.675600,0.410677,2.648155
77,153.997479,57.235700,-3.440690,-0.011897,-12.083336,-0.886696,-16.053174,0.478456,2.683006
78,155.997446,56.801551,-3.465598,-0.012987,-12.646974,-0.869897,-15.371139,0.548244,2.718117
79,157.997414,56.344376,-3.492688,-0.014073,-13.190927,-0.850496,-14.630307,0.620064,2.753505
80,159.997381,55.864367,-3.521933,-0.015137,-13.712984,-0.828370,-13.831511,0.693944,2.789188
81,161.997348,55.361778,-3.553267,-0.016159,-14.210877,-0.803390,-12.975608,0.769907,2.825185
82,163.997315,54.836933,-3.586587,-0.017120,-14.682282,-0.775419,-12.063595,0.847985,2.861515
83,165.997283,54.290230,-3.621745,-0.017996,-15.124808,-0.744313,-11.096529,0.928214,2.898198
84,167.997250,53.722155,-3.658543,-0.018761,-15.535995,-0.709917,-10.075457,1.010625,2.935253
85,169.997217,53.133282,-3.696731,-0.019388,-15.913311,-0.672070,-9.001494,1.095259,2.972702
86,171.997184,52.524293,-3.736002,-0.019850,-16.254140,-0.630600,-7.875809,1.182160,3.010566
87,173.997152,51.895981,-3.775994,-0.020116,-16.555785,-0.585323,-6.699548,1.271375,3.048866
88,175.997119,51.249267,-3.816281,-0.020156,-16.815451,-0.536046,-5.473887,1.362956,3.087625
89,177.997086,50.585209,-3.856380,-0.019940,-17.030248,-0.482563,-4.200000,1.456962,3.126865
90,179.997053,49.905023,-3.895748,-0.019438,-17.197178,-0.424656,-2.879034,1.553458,3.166610
91,181.997021,49.210098,-3.933779,-0.018619,-17.313126,-0.362093,-1.512114,1.652508,3.206884
92,183.996988,48.502013,-3.969813,-0.017454,-17.374860,-0.294628,-0.100521,1.754173,3.247710
93,185.996955,47.782555,-4.003134,-0.015918,-17.379022,-0.222000,-0.111704,1.789459,3.289113
94,187.996922,47.052448,-4.032984,-0.013989,-17.383714,-0.146833,-0.635587,1.785737,3.331118
95,189.996890,46.310720,-4.058566,-0.011649,-17.410812,-0.070699,-0.837389,1.795596,3.373753
96,191.996857,45.556122,-4.079059,-0.008890,-17.447067,0.007043,-1.033248,2.027547,3.417048
97,193.996824,44.787590,-4.093631,-0.005704,-17.492522,0.096239,0.632275,2.139909,3.461040
98,195.996791,44.005820,-4.101441,-0.002089,-17.464242,0.191952,2.388105,2.244129,3.505768
99,197.996759,43.213584,-4.101648,0.001951,-17.355571,0.294071,4.179909,2.351825,3.551273
100,199.996726,42.414078,-4.093435,0.006399,-17.161938,0.403019,4.512570,2.944423,3.597598
101,201.996693,41.609257,-4.076014,0.011243,-16.948997,0.541961,4.432624,3.614211,3.644786
102,203.996660,40.799141,-4.048610,0.016478,-16.735789,0.715804,4.505057,4.231865,3.692886
103,205.996628,39.983440,-4.010453,0.022095,-16.514753,0.923436,3.288259,5.213433,3.741950
104,207.996595,39.160382,-3.960789,0.028088,-16.350052,1.184564,2.318169,6.268726,3.792037
105,209.996562,38.326623,-3.898848,0.034463,-16.231408,1.505397,4.226711,6.484431,3.843217
106,211.996530,37.482685,-3.823849,0.041203,-16.010136,1.844863,6.131103,6.765810,3.895568
107,213.996497,36.633292,-3.735075,0.048259,-15.681487,2.207535,8.093792,7.048059,3.949172
108,215.996464,35.784009,-3.631885,0.055582,-15.236836,2.594736,9.468334,7.646373,4.004109
109,217.996431,34.940461,-3.513717,0.063136,-14.703305,3.025601,9.692507,8.990493,4.060458
110,219.996399,34.106291,-3.380020,0.070936,-14.142729,3.545575,10.416589,9.676088,4.118294
111,221.996366,33.284637,-3.230163,0.079016,-13.524020,4.120301,10.996666,10.227471,4.177691
112,223.996333,32.479807,-3.063460,0.087391,-12.852947,4.744435,11.463577,10.623587,4.238716
113,225.996300,31.696300,-2.879193,0.096073,-12.134029,5.410674,11.812793,10.880054,4.301429
114,227.996268,30.938820,-2.676620,0.105074,-11.372719,6.111870,11.940911,11.108991,4.365877
115,229.996235,30.211979,-2.454983,0.114408,-10.582081,6.847425,12.147253,11.027899,4.432089
116,231.996202,29.520617,-2.213526,0.124076,-9.756237,7.597169,12.170585,10.903144,4.500076
117,233.996169,28.869798,-1.951550,0.134057,-8.907439,8.357573,12.131300,10.607496,4.569817
118,235.996137,28.264346,-1.668481,0.144303,-8.040686,9.115454,12.052637,10.107378,4.641265
119,237.996104,27.709011,-1.363962,0.154713,-7.160036,9.853969,11.841714,9.509662,4.714332
120,239.996071,27.208088,-1.038008,0.165128,-6.277145,10.562988,11.505625,8.810623,4.788890
121,241.996038,26.764926,-0.691142,0.175327,-5.404150,11.231499,11.014497,8.042693,4.864765
122,243.996006,26.381566,-0.324551,0.185022,-4.556293,11.850596,10.527681,6.950779,4.941742
123,245.995973,26.058876,0.059757,0.193831,-3.737038,12.391500,9.834623,5.859809,5.019561
124,247.995940,25.796212,0.458752,0.201290,-2.966318,12.850722,8.848522,4.967518,5.097929
125,249.995907,25.590394,0.868352,0.206935,-2.270832,13.241164,7.621986,4.290015,5.176528
126,251.995875,25.435607,1.283554,0.210351,-1.672454,13.577960,6.249476,3.817002,5.255035
127,253.995842,25.324040,1.698682,0.211208,-1.184331,13.876091,4.842973,3.576385,5.333141
128,255.995809,25.246855,2.107718,0.209291,-0.809335,14.153014,3.554438,3.564293,5.410572
129,257.995776,25.195325,2.504668,0.204515,-0.537312,14.425791,2.562524,3.600961,5.487102
130,259.995744,25.162074,2.883918,0.196920,-0.343936,14.697531,2.922073,3.198250,5.562565
131,261.995711,25.144587,3.240453,0.186589,-0.126863,14.935121,2.770076,2.282890,5.636853
132,263.995678,25.142711,3.569861,0.173585,0.075495,15.101889,3.432870,1.173114,5.709904
133,265.995646,25.156981,3.868270,0.157981,0.321990,15.186123,3.953947,-0.142462,5.781709
134,267.995613,25.189562,4.132330,0.139900,0.601100,15.176067,4.439596,-1.289560,5.852299
135,269.995580,25.242015,4.359197,0.119539,0.909432,15.086506,5.089854,-1.694660,5.921749
136,271.995547,25.316156,4.546574,0.097245,1.257696,14.970552,6.091274,-1.080270,5.990173
137,273.995515,25.414989,4.692867,0.073567,1.669081,14.897594,7.192393,-0.309119,6.057709
138,275.995482,25.542544,4.797314,0.049165,2.149578,14.876943,8.074603,-0.097798,6.124516
139,277.995449,25.702631,4.859908,0.024648,2.684392,14.870466,8.320937,-1.064537,6.190750
140,279.995416,25.897314,4.881136,0.000450,3.232005,14.800407,7.282648,-3.949621,6.256561
141,281.995384,26.124735,4.861601,-0.023276,3.709219,14.541598,4.517146,-9.307055,6.322089
142,283.995351,26.376890,4.801497,-0.046745,4.004541,13.933121,-0.438778,-17.718501,6.387467
143,285.995318,26.637748,4.699956,-0.070609,3.975856,12.774779,-2.847354,-20.790295,6.452841
144,287.995285,26.892228,4.554648,-0.095329,3.789227,11.412085,4.662261,-9.386535,6.518386
145,289.995253,27.151977,4.363269,-0.119838,4.096373,10.793707,5.821494,-6.516852,6.584265
146,291.995220,27.436316,4.126095,-0.142722,4.482279,10.361706,6.489049,-4.026551,6.650555
147,293.995187,27.749755,3.845084,-0.163367,4.915148,10.093105,6.343494,-2.115002,6.717263
148,295.995154,28.093727,3.523440,-0.181305,5.340660,9.951234,5.055684,-0.998980,6.784341
149,297.995122,28.464941,3.165490,-0.196238,5.681208,9.883943,3.212318,0.092114,6.851701
