,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
54,107.989795,58.194289,-0.456912,0.005207,4.116919,-0.494146,-10.703994,-1.285043,2.050786
55,109.989606,58.329285,-0.446451,0.005251,3.749540,-0.538251,-11.735033,-1.241319,2.085108
56,111.989417,58.450811,-0.435934,0.005263,3.347657,-0.580761,-12.708707,-1.195525,2.119354
57,113.989228,58.557810,-0.425421,0.005245,2.913279,-0.621624,-13.624099,-1.147637,2.153534
58,115.989039,58.649285,-0.414977,0.005196,2.448401,-0.660783,-14.480290,-1.097632,2.187656
59,117.988850,58.724304,-0.404661,0.005116,1.955007,-0.698184,-15.276365,-1.045490,2.221729
60,119.988661,58.781995,-0.394534,0.005008,1.435076,-0.733767,-16.011428,-0.991191,2.255764
61,121.988472,58.821539,-0.384652,0.004871,0.890577,-0.767474,-16.684601,-0.934716,2.289771
62,123.988283,58.842172,-0.375069,0.004709,0.323474,-0.799245,-17.295043,-0.876048,2.323761
63,125.988094,58.843178,-0.365836,0.004521,-0.264269,-0.829016,-17.841952,-0.815172,2.357744
64,127.987905,58.823890,-0.357005,0.004309,-0.870693,-0.856722,-18.324576,-0.752071,2.391733
65,129.987716,58.783686,-0.348618,0.004076,-1.493836,-0.882297,-18.742211,-0.686731,2.425739
66,131.987527,58.721987,-0.340715,0.003825,-2.131734,-0.905670,-19.094211,-0.619138,2.459774
67,133.987338,58.638256,-0.333330,0.003560,-2.782417,-0.926769,-19.379994,-0.549278,2.493851
68,135.987149,58.531995,-0.326484,0.003285,-3.443908,-0.945517,-19.599037,-0.477140,2.527984
69,137.986960,58.402746,-0.320193,0.003006,-4.114223,-0.961836,-19.750898,-0.402710,2.562185
70,139.986771,58.250087,-0.314464,0.002725,-4.791362,-0.975643,-19.835209,-0.325977,2.596469
71,141.986582,58.073632,-0.309290,0.002451,-5.473314,-0.986850,-19.851677,-0.246930,2.630850
72,143.986393,57.873035,-0.304652,0.002190,-6.158048,-0.995367,-19.800095,-0.165557,2.665343
73,145.986204,57.647981,-0.300515,0.001951,-6.843517,-1.001099,-19.680337,-0.081848,2.699962
74,147.986015,57.398195,-0.296829,0.001741,-7.527649,-1.003944,-19.492368,0.004208,2.734724
75,149.985826,57.123435,-0.293527,0.001569,-8.208345,-1.003797,-19.236244,0.092621,2.769646
76,151.985637,56.823499,-0.290523,0.001444,-8.883480,-1.000546,-18.912113,0.183402,2.804743
77,153.985448,56.498220,-0.287716,0.001373,-9.550896,-0.994074,-18.520222,0.276561,2.840033
78,155.985259,56.147474,-0.284987,0.001368,-10.208399,-0.984256,-18.060920,0.372107,2.875535
79,157.985070,55.771176,-0.282196,0.001438,-10.853755,-0.970959,-17.534647,0.470052,2.911267
80,159.984881,55.369286,-0.279182,0.001592,-11.484686,-0.954046,-16.941944,0.570406,2.947249
81,161.984692,54.941809,-0.275766,0.001840,-12.098867,-0.933367,-16.283461,0.673180,2.983501
82,163.984503,54.488802,-0.271756,0.002189,-12.693921,-0.908767,-15.559950,0.778386,3.020045
83,165.984314,54.010376,-0.266941,0.002646,-13.267410,-0.880078,-14.772261,0.886035,3.056901
84,167.984125,53.506703,-0.261099,0.003216,-13.816837,-0.847124,-13.921355,0.996141,3.094095
85,169.983936,52.978016,-0.254000,0.003904,-14.339632,-0.809715,-13.008295,1.108718,3.131648
86,171.983747,52.424625,-0.245407,0.004711,-14.833151,-0.767652,-12.034242,1.223783,3.169587
87,173.983558,51.846919,-0.235081,0.005637,-15.294669,-0.720719,-11.000459,1.341354,3.207937
88,175.983369,51.245374,-0.222790,0.006677,-15.721369,-0.668689,-9.908303,1.461452,3.246727
89,177.983180,50.620570,-0.208309,0.007825,-16.110336,-0.611317,-8.759215,1.584104,3.285983
90,179.982991,49.973201,-0.191431,0.009072,-16.458549,-0.548343,-7.554713,1.709340,3.325737
91,181.982802,49.304087,-0.171974,0.010402,-16.762868,-0.479487,-6.296378,1.837198,3.366019
92,183.982613,48.614198,-0.149789,0.011796,-17.020028,-0.404452,-4.985828,1.967727,3.406862
93,185.982424,47.904669,-0.124770,0.013232,-17.226623,-0.322916,-3.624699,2.100985,3.448298
94,187.982235,47.176826,-0.096861,0.014680,-17.379095,-0.234539,-2.214691,2.237040,3.490363
95,189.982046,46.432216,-0.066070,0.016108,-17.473727,-0.138952,-1.476265,2.319914,3.533092
96,191.981857,45.671952,-0.032475,0.017475,-17.537840,-0.038200,-0.637923,2.422613,3.576521
97,193.981668,44.896719,0.003759,0.018737,-17.566016,0.068802,0.930963,2.566385,3.620689
98,195.981479,44.108135,0.042372,0.019844,-17.524172,0.184151,2.543789,2.713283,3.665635
99,197.981290,43.308819,0.082999,0.020742,-17.407758,0.308322,4.199464,2.863527,3.711399
100,199.981101,42.501806,0.125166,0.021373,-17.211972,0.441824,5.191083,3.257911,3.758021
101,201.980912,41.689800,0.168278,0.021680,-16.965306,0.596631,4.991203,4.005817,3.805538
102,203.980723,40.873665,0.211642,0.021622,-16.723475,0.790719,4.928614,4.703821,3.853990
103,205.980534,40.053107,0.254493,0.021166,-16.479872,1.023211,3.965749,5.673043,3.903416
104,207.980345,39.226828,0.296013,0.020295,-16.279820,1.309387,2.666591,6.862684,3.953861
105,209.980156,38.391737,0.335371,0.019015,-16.142455,1.662907,4.553080,7.095193,4.005374
106,211.979967,37.548330,0.371751,0.017320,-15.902788,2.036388,6.548717,7.295102,4.058013
107,213.979778,36.701928,0.404292,0.015179,-15.550337,2.429009,8.510350,7.382788,4.111833
108,215.979589,35.858727,0.432076,0.012564,-15.081814,2.835456,9.875880,7.708704,4.166886
109,217.979400,35.024789,0.454147,0.009468,-14.525473,3.269713,9.799437,9.064162,4.223219
110,219.979211,34.203611,0.469594,0.005954,-13.960486,3.792307,10.427317,9.627479,4.280874
111,221.979022,33.397865,0.477699,0.002127,-13.345099,4.360491,10.966639,10.057702,4.339891
112,223.978833,32.611633,0.477928,-0.001926,-12.682548,4.968128,11.413601,10.361151,4.400306
113,225.978644,31.849121,0.469939,-0.006102,-11.976685,5.608903,11.774094,10.535911,4.462150
114,227.978455,31.114633,0.453603,-0.010288,-11.231436,6.275781,11.583860,11.046766,4.525446
115,229.978266,30.411559,0.429045,-0.014330,-10.481246,6.991188,11.889404,10.847397,4.590208
116,231.978077,29.743433,0.396715,-0.018074,-9.693774,7.709644,12.139578,10.475397,4.656441
117,233.977888,29.115015,0.357316,-0.021410,-8.871967,8.418792,12.248613,10.028105,4.724137
118,235.977699,28.530921,0.311750,-0.024244,-8.025157,9.112087,12.196280,9.535808,4.793272
119,237.977510,27.995238,0.261091,-0.026494,-7.164946,9.784653,11.968230,9.021696,4.863803
120,239.977321,27.511247,0.206560,-0.028094,-6.304873,10.432979,11.540489,8.522199,4.935666
121,241.977132,27.081121,0.149492,-0.028996,-5.461107,11.056068,10.879741,8.094216,5.008779
122,243.976943,26.705553,0.091307,-0.029163,-4.653120,11.657187,10.075296,7.611279,5.083045
123,245.976754,26.383718,0.033495,-0.028572,-3.894401,12.230353,9.250673,6.888545,5.158350
124,247.976565,26.113748,-0.022450,-0.027252,-3.189287,12.755418,8.320555,6.097825,5.234573
125,249.976376,25.892803,-0.075140,-0.025284,-2.548487,13.225038,7.295302,5.294639,5.311587
126,251.976187,25.716851,-0.123375,-0.022775,-1.981803,13.636313,6.222785,4.490429,5.389265
127,253.975998,25.580874,-0.166175,-0.019841,-1.495067,13.987548,5.133179,3.754193,5.467483
128,255.975809,25.479168,-0.202786,-0.016589,-1.091367,14.282797,4.084692,3.098415,5.546128
129,257.975620,25.405719,-0.232642,-0.013100,-0.768797,14.527480,3.121805,2.559430,5.625099
130,259.975432,25.354617,-0.255306,-0.009420,-0.521522,14.730210,2.303711,2.108914,5.704308
131,261.975243,25.320478,-0.270394,-0.005553,-0.338664,14.897606,2.378738,1.619754,5.783683
132,263.975054,25.301074,-0.277507,-0.001485,-0.149601,15.026345,3.178403,0.821735,5.863163
133,265.974865,25.299227,-0.276257,0.002748,0.103151,15.091691,3.772266,0.296012,5.942685
134,267.974676,25.319343,-0.266382,0.007086,0.402991,15.115219,4.304320,-0.484429,6.022171
135,269.974487,25.364878,-0.247737,0.011452,0.744581,15.076775,4.777529,-1.382568,6.101530
136,271.974298,25.438761,-0.220414,0.015704,1.122653,14.967365,5.203042,-2.397177,6.180666
137,273.974109,25.543391,-0.184829,0.019665,1.532691,14.778450,5.606399,-3.516292,6.259473
138,275.973920,25.680729,-0.141791,0.023123,1.972078,14.502870,5.960421,-4.732208,6.337845
139,277.973731,25.852270,-0.092560,0.025845,2.435981,14.134559,6.056546,-6.015567,6.415676
140,279.973542,26.058335,-0.038863,0.027593,2.903460,13.670243,5.853699,-7.282379,6.492862
141,281.973353,26.297403,0.017115,0.028148,3.350962,13.113521,5.399397,-8.394467,6.569310
142,283.973164,26.566287,0.072803,0.027339,3.759331,12.478629,4.790364,-9.153294,6.644942
143,285.972975,26.860717,0.125381,0.025084,4.117453,11.794338,4.433285,-8.944224,6.719701
144,287.972786,27.176872,0.172022,0.021462,4.444844,11.133823,4.415416,-7.716847,6.793549
145,289.972597,27.512709,0.210265,0.016753,4.766797,10.571143,5.055515,-5.047951,6.866465
146,291.972408,27.868867,0.238411,0.011446,5.130641,10.207844,4.739653,-3.068479,6.938434
147,293.972219,28.245148,0.255822,0.006053,5.467208,9.989948,3.479445,-1.755418,7.009445
148,295.972030,28.636652,0.262697,0.000914,5.710936,9.866985,2.032123,-0.073074,7.079493
149,297.971841,29.036104,0.259822,-0.003684,5.851347,9.861936,0.248120,1.840237,7.148589
150,299.971652,29.435565,0.248579,-0.007430,5.868262,9.987384,-0.596451,2.887148,7.216759
151,301.971463,29.829046,0.230921,-0.010090,5.828131,10.181638,0.885687,1.825422,7.284041
152,303.971274,30.218190,0.209049,-0.011678,5.886971,10.302910,1.988961,0.398284,7.350476
153,305.971085,30.608725,0.184904,-0.012397,6.017470,10.329042,2.356555,-0.562589,7.416088
154,307.970896,31.003610,0.160017,-0.012437,6.170177,10.292585,2.245259,-1.016525,7.480888
155,309.970707,31.403092,0.135618,-0.011912,6.313871,10.227529,1.684413,-0.614863,7.544887
156,311.970518,31.805530,0.112802,-0.010839,6.420335,10.188666,1.047307,-1.683339,7.608093
157,313.970329,32.208367,0.092639,-0.009273,6.485715,10.083582,0.374328,-4.029001,7.670519
158,315.970140,32.609014,0.075929,-0.007426,6.508797,9.835137,-0.322912,-5.995815,7.732183
159,317.969951,33.004957,0.062982,-0.005541,6.489124,9.469848,-0.997209,-7.590735,7.793107
160,319.969762,33.393861,0.053687,-0.003795,6.429082,9.012808,-1.617293,-8.820600,7.853317
161,321.969573,33.773689,0.047633,-0.002313,6.332812,8.487759,-2.129941,-9.692163,7.912843
162,323.969384,34.142821,0.044214,-0.001169,6.207419,7.917165,-2.495716,-10.211983,7.971714
163,325.969195,34.500172,0.042712,-0.000397,6.062042,7.322312,-2.666193,-10.386301,8.029965
164,327.969006,34.845287,0.042376,0.000001,5.908305,6.723421,-2.642411,-10.220786,8.087627
165,329.968817,35.178369,0.042484,0.000053,5.757412,6.139769,-8.486796,-9.713092,8.144731
166,331.968628,35.490546,0.042396,-0.000183,5.277217,5.590189,-8.360651,-8.935466,8.201312
167,333.968439,35.773490,0.041615,-0.000625,4.808100,5.088819,-6.316333,-8.176756,8.257422
168,335.968250,36.031456,0.039815,-0.001189,4.456347,4.633460,-4.817643,-7.504606,8.313112
169,337.968061,36.270562,0.036824,-0.001806,4.189890,4.218390,-3.828389,-6.915407,8.368421
170,339.967872,36.495049,0.032593,-0.002422,3.979489,3.838333,-3.414594,-6.407412,8.423379
171,341.967683,36.707360,0.027165,-0.002997,3.792943,3.488284,-3.419411,-5.980759,8.478010
172,343.967494,36.908371,0.020653,-0.003502,3.607178,3.163370,-3.727086,-5.637102,8.532337
173,345.967305,37.097865,0.013220,-0.003915,3.405762,2.858734,-4.190326,-5.379176,8.586378
174,347.967116,37.274954,0.005065,-0.004223,3.180423,2.569464,-0.882434,-5.210775,8.640154
175,349.966927,37.443935,-0.003595,-0.004420,3.133187,2.290536,0.871056,-5.100298,8.693683
