s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1237.611550,658.875136,257.625937,0.222721,0.680894,-0.001201,-0.104670,-0.000145,0.000009,0.000006,-7.503443,7.503443,0.000006,0.000024,-0.000143
1238.032427,659.201850,257.891258,0.223200,0.680833,-0.001198,-0.104667,0.000178,-0.000077,-0.000033,-7.502389,7.502389,-0.000033,-0.000095,0.000169
1238.446023,659.522896,258.152010,0.223667,0.680906,-0.001229,-0.104681,-0.000677,-0.000121,-0.000019,-7.501345,7.501345,-0.000020,-0.000049,-0.000686
1238.864474,659.847879,258.415614,0.224168,0.680623,-0.001280,-0.104689,0.000168,0.000006,-0.000003,-7.500910,7.500910,-0.000003,-0.000011,0.000168
1239.282926,660.173050,258.678987,0.224700,0.680693,-0.001277,-0.104691,0.000145,0.000051,0.000011,-7.500773,7.500773,0.000011,0.000035,0.000150
1239.703804,660.500106,258.943887,0.225236,0.680754,-0.001256,-0.104686,0.001451,0.000044,-0.000041,-7.500637,7.500637,-0.000040,-0.000108,0.001447
1240.112548,660.817653,259.201250,0.225742,0.681347,-0.001238,-0.104703,0.000173,0.000009,-0.000003,-7.500641,7.500641,-0.000003,-0.000009,0.000173
1240.530999,661.142807,259.464642,0.226271,0.681419,-0.001234,-0.104704,-0.000227,-0.000009,0.000004,-7.501097,7.501097,0.000004,0.000015,-0.000227
1240.951877,661.469845,259.729565,0.226803,0.681324,-0.001238,-0.104702,0.000962,0.000133,0.000011,-7.501553,7.501553,0.000012,0.000032,0.000970
1241.370328,661.794999,259.992958,0.227331,0.681726,-0.001182,-0.104698,0.002755,0.000171,-0.000049,-7.502009,7.502009,-0.000046,-0.000117,0.002758
1241.774218,662.108668,260.247395,0.227813,0.682839,-0.001113,-0.104717,-0.000234,-0.000021,0.000004,-7.502847,7.502847,0.000004,0.000003,-0.000235
1242.195094,662.435491,260.512583,0.228308,0.682740,-0.001122,-0.104716,0.000209,0.000021,-0.000002,-7.503819,7.503819,-0.000002,-0.000001,0.000210
1242.613545,662.760432,260.776236,0.228802,0.682828,-0.001113,-0.104717,0.004825,0.000452,-0.000026,-7.504792,7.504792,-0.000021,-0.000055,0.004846
1243.015007,663.072172,261.029199,0.229272,0.684765,-0.000932,-0.104727,0.000212,0.000012,-0.000002,-7.505840,7.505840,-0.000002,-0.000010,0.000213
1243.433456,663.396712,261.293345,0.229697,0.684854,-0.000927,-0.104728,0.000186,0.000013,-0.000003,-7.507238,7.507238,-0.000003,-0.000007,0.000187
1243.851905,663.721241,261.557504,0.230122,0.684932,-0.000921,-0.104729,0.000535,0.000112,0.000018,-7.508620,7.508620,0.000019,0.000055,0.000544
1244.272781,664.047648,261.823201,0.230547,0.685157,-0.000874,-0.104722,0.005114,0.000450,-0.000036,-7.510002,7.510002,-0.000031,-0.000088,0.005133
1244.671815,664.356955,262.075307,0.230923,0.687198,-0.000695,-0.104736,0.000165,0.000009,-0.000003,-7.511581,7.511581,-0.000003,-0.000009,0.000165
1245.090263,664.680948,262.340122,0.231257,0.687267,-0.000691,-0.104737,0.000191,0.000013,-0.000003,-7.513280,7.513280,-0.000003,-0.000007,0.000191
1245.508711,665.004941,262.604937,0.231591,0.687347,-0.000686,-0.104738,0.001369,0.000245,0.000034,-7.514978,7.514978,0.000035,0.000100,0.001387
1245.929585,665.330807,262.871295,0.231926,0.687923,-0.000583,-0.104724,0.003737,0.000275,-0.000044,-7.516676,7.516676,-0.000042,-0.000117,0.003745
1246.331045,665.641299,263.125784,0.232188,0.689423,-0.000473,-0.104742,0.000164,0.000009,-0.000003,-7.518576,7.518576,-0.000003,-0.000009,0.000164
1246.749492,665.964768,263.391237,0.232434,0.689492,-0.000469,-0.104743,0.000192,0.000016,-0.000003,-7.520495,7.520495,-0.000003,-0.000005,0.000192
1247.167938,666.288237,263.656690,0.232681,0.689572,-0.000463,-0.104744,0.004502,0.000440,-0.000012,-7.522414,7.522414,-0.000010,-0.000033,0.004523
1247.571825,666.600444,263.912915,0.232917,0.691390,-0.000285,-0.104749,0.000198,0.000015,-0.000003,-7.524371,7.524371,-0.000003,-0.000005,0.000198
1247.990270,666.923488,264.178883,0.233094,0.691473,-0.000278,-0.104750,-0.000255,-0.000013,0.000004,-7.526569,7.526569,0.000004,0.000014,-0.000255
1248.411142,667.248398,264.446403,0.233269,0.691366,-0.000284,-0.104749,0.000931,0.000127,0.000011,-7.528768,7.528768,0.000012,0.000029,0.000939
1248.829588,667.571441,264.712372,0.233444,0.691755,-0.000231,-0.104744,0.003808,0.000335,-0.000024,-7.530967,7.530967,-0.000024,-0.000065,0.003822
1249.233472,667.883079,264.969287,0.233586,0.693293,-0.000095,-0.104754,-0.000259,-0.000018,0.000003,-7.533224,7.533224,0.000003,0.000009,-0.000260
1249.654344,668.207552,265.237335,0.233689,0.693184,-0.000103,-0.104752,0.000163,0.000011,-0.000003,-7.535585,7.535585,-0.000003,-0.000006,0.000163
1250.072789,668.530162,265.503828,0.233792,0.693252,-0.000098,-0.104754,0.001716,0.000254,0.000027,-7.537945,7.537945,0.000027,0.000074,0.001733
1250.491234,668.852773,265.770321,0.233895,0.693970,0.000008,-0.104742,0.002049,0.000139,-0.000027,-7.540306,7.540306,-0.000027,-0.000076,0.002052
1250.899971,669.167559,266.031043,0.233940,0.694808,0.000065,-0.104753,0.000200,0.000019,-0.000002,-7.542661,7.542661,-0.000002,-0.000002,0.000201
1251.318416,669.489754,266.298038,0.233974,0.694891,0.000073,-0.104754,0.000131,0.000042,0.000011,-7.545067,7.545067,0.000011,0.000028,0.000134
1251.739287,669.813808,266.566592,0.234007,0.694946,0.000091,-0.104749,0.001275,0.000149,0.000004,-7.547474,7.547474,0.000004,0.000015,0.001284
1252.155305,670.134047,266.832145,0.234026,0.695477,0.000153,-0.104748,0.000199,0.000015,-0.000002,-7.549762,7.549762,-0.000002,-0.000006,0.000200
1252.573751,670.455993,267.099442,0.234018,0.695560,0.000159,-0.104749,-0.000253,-0.000021,0.000003,-7.551918,7.551918,0.000003,0.000006,-0.000254
1252.994624,670.779798,267.368299,0.234009,0.695454,0.000150,-0.104747,0.000583,0.000081,0.000005,-7.554073,7.554073,0.000005,0.000020,0.000588
1253.413070,671.101743,267.635597,0.234001,0.695698,0.000184,-0.104745,-0.001084,-0.000068,0.000016,-7.556229,7.556229,0.000016,0.000046,-0.001085
1253.838797,671.429195,267.907662,0.233976,0.695236,0.000155,-0.104739,-0.000244,-0.000015,0.000004,-7.558009,7.558009,0.000004,0.000010,-0.000244
1254.259672,671.752940,268.176594,0.233957,0.695133,0.000149,-0.104737,0.000433,0.000050,0.000002,-7.559679,7.559679,0.000002,0.000005,0.000435
1254.678120,672.074824,268.443969,0.233937,0.695314,0.000170,-0.104736,0.000395,0.000092,0.000016,-7.561349,7.561349,0.000016,0.000050,0.000402
1255.098995,672.398515,268.712968,0.233908,0.695481,0.000209,-0.104729,-0.000238,-0.000017,0.000004,-7.562924,7.562924,0.000004,0.000008,-0.000239
1255.519871,672.722066,268.982136,0.233855,0.695380,0.000201,-0.104728,0.000184,0.000014,-0.000003,-7.564221,7.564221,-0.000003,-0.000005,0.000184
1255.938321,673.043757,269.249746,0.233804,0.695457,0.000207,-0.104729,0.000232,0.000065,0.000013,-7.565518,7.565518,0.000013,0.000040,0.000237
1256.359197,673.367309,269.518913,0.233751,0.695555,0.000235,-0.104724,-0.000926,-0.000046,0.000019,-7.566814,7.566814,0.000019,0.000051,-0.000926
1256.784927,673.694488,269.791310,0.233680,0.695161,0.000215,-0.104716,0.000176,0.000008,-0.000003,-7.567753,7.567753,-0.000003,-0.000010,0.000176
1257.203378,674.016063,270.059060,0.233608,0.695235,0.000219,-0.104717,-0.000101,0.000013,0.000006,-7.568496,7.568496,0.000006,0.000024,-0.000099
1257.624255,674.339500,270.328366,0.233536,0.695192,0.000224,-0.104714,0.000409,0.000088,0.000016,-7.569239,7.569239,0.000016,0.000045,0.000416
1258.045133,674.662912,270.597705,0.233459,0.695364,0.000261,-0.104707,-0.000223,-0.000011,0.000004,-7.569940,7.569940,0.000004,0.000013,-0.000223
