s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1077.792836,548.608702,165.451861,0.278201,0.681607,-0.000378,-0.105293,0.000573,-0.000003,0.000136,-6.958440,8.096753,0.000136,-0.000064,0.000570
1079.792883,550.161495,166.712425,0.278926,0.682754,-0.000384,-0.105022,0.000551,-0.000006,0.000086,-6.941131,8.130281,0.000087,-0.000063,0.000547
1081.792903,551.712835,167.974734,0.279665,0.683856,-0.000395,-0.104849,0.000530,-0.000007,0.000051,-6.930465,8.164929,0.000051,-0.000062,0.000526
1083.792895,553.262775,169.238717,0.280428,0.684915,-0.000410,-0.104748,0.000508,-0.000006,0.000026,-6.923440,8.198189,0.000026,-0.000059,0.000504
1085.792857,554.811366,170.504305,0.281220,0.685931,-0.000422,-0.104696,0.000487,-0.000002,0.000013,-6.917656,8.227798,0.000013,-0.000052,0.000484
1087.792792,556.358663,171.771432,0.282037,0.686904,-0.000425,-0.104671,0.000466,0.000005,0.000006,-6.910649,8.245207,0.000006,-0.000044,0.000463
1089.792701,557.904719,173.040032,0.282862,0.687835,-0.000416,-0.104659,0.000444,0.000014,0.000003,-6.899203,8.257221,0.000003,-0.000033,0.000443
1091.792586,559.449588,174.310041,0.283669,0.688724,-0.000388,-0.104653,0.000423,0.000024,0.000001,-6.883438,8.265303,0.000001,-0.000020,0.000423
1093.792451,560.993325,175.581393,0.284423,0.689570,-0.000341,-0.104652,0.000403,0.000035,-0.000001,-6.864848,8.269760,-0.000001,-0.000007,0.000404
1095.792298,562.535984,176.854024,0.285083,0.690375,-0.000271,-0.104653,0.000381,0.000046,-0.000003,-6.845189,8.271511,-0.000003,0.000006,0.000384
1097.792131,564.077620,178.127872,0.285604,0.691138,-0.000180,-0.104658,0.000361,0.000057,-0.000006,-6.827463,8.270272,-0.000006,0.000019,0.000365
1099.791951,565.618287,179.402873,0.285944,0.691860,-0.000066,-0.104670,0.000342,0.000065,-0.000008,-6.814009,8.267065,-0.000008,0.000029,0.000347
1101.791766,567.158039,180.678969,0.286057,0.692544,0.000065,-0.104686,0.000323,0.000070,-0.000010,-6.807160,8.261320,-0.000010,0.000036,0.000329
1103.791576,568.696926,181.956101,0.285910,0.693190,0.000204,-0.104706,0.000306,0.000066,-0.000011,-6.809161,8.253993,-0.000011,0.000034,0.000311
1105.791383,570.234998,183.234212,0.285485,0.693802,0.000336,-0.104728,0.000289,0.000053,-0.000010,-6.820174,8.250144,-0.000010,0.000022,0.000293
1107.791190,571.772298,184.513248,0.284798,0.694380,0.000441,-0.104748,0.000274,0.000028,-0.000006,-6.837151,8.250597,-0.000007,-0.000001,0.000276
1109.790997,573.308871,185.793159,0.283900,0.694928,0.000498,-0.104760,0.000260,-0.000004,-0.000003,-6.857475,8.259089,-0.000003,-0.000031,0.000259
1111.790807,574.844753,187.073901,0.282891,0.695449,0.000490,-0.104765,0.000247,-0.000038,0.000003,-6.877217,8.273676,0.000003,-0.000064,0.000241
1113.790619,576.379982,188.355432,0.281897,0.695942,0.000414,-0.104759,0.000234,-0.000067,0.000009,-6.894404,8.289025,0.000009,-0.000091,0.000226
1115.790439,577.914595,189.637712,0.281057,0.696410,0.000279,-0.104741,0.000219,-0.000085,0.000013,-6.910217,8.300689,0.000013,-0.000107,0.000209
1117.790270,579.448626,190.920705,0.280487,0.696849,0.000110,-0.104715,0.000204,-0.000082,0.000014,-6.925351,8.304639,0.000014,-0.000102,0.000194
1119.790120,580.982119,192.204372,0.280257,0.697257,-0.000053,-0.104686,0.000186,-0.000060,0.000014,-6.940541,8.290622,0.000014,-0.000079,0.000179
1121.789992,582.515114,193.488667,0.280354,0.697630,-0.000173,-0.104658,0.000167,-0.000020,0.000011,-6.955466,8.255977,0.000011,-0.000037,0.000164
1123.789891,584.047663,194.773538,0.280690,0.697964,-0.000213,-0.104635,0.000147,0.000028,0.000007,-6.969113,8.209451,0.000007,0.000012,0.000149
1125.789819,585.579812,196.058928,0.281108,0.698258,-0.000157,-0.104622,0.000128,0.000075,0.000002,-6.980821,8.157310,0.000002,0.000062,0.000135
1127.789770,587.111610,197.344774,0.281415,0.698513,-0.000007,-0.104617,0.000110,0.000115,-0.000002,-6.991052,8.105672,-0.000002,0.000103,0.000121
1129.789741,588.643105,198.631012,0.281422,0.698733,0.000223,-0.104622,0.000093,0.000138,-0.000006,-6.999362,8.060328,-0.000006,0.000128,0.000107
1131.789724,590.174335,199.917583,0.280970,0.698919,0.000499,-0.104635,0.000079,0.000142,-0.000008,-7.005091,8.027114,-0.000008,0.000133,0.000094
1133.789706,591.705333,201.204429,0.279967,0.699078,0.000784,-0.104651,0.000068,0.000127,-0.000009,-7.007528,8.008838,-0.000009,0.000120,0.000081
1135.789682,593.236131,202.491503,0.278395,0.699213,0.001039,-0.104669,0.000058,0.000098,-0.000009,-7.003789,8.002573,-0.000009,0.000091,0.000068
1137.789643,594.766750,203.778764,0.276314,0.699329,0.001234,-0.104688,0.000050,0.000058,-0.000009,-6.995309,8.004902,-0.000009,0.000053,0.000056
1139.789581,596.297212,205.066179,0.273843,0.699429,0.001350,-0.104706,0.000042,0.000016,-0.000009,-6.986291,8.012840,-0.000009,0.000012,0.000044
1141.789494,597.827534,206.353719,0.271141,0.699513,0.001383,-0.104724,0.000035,-0.000023,-0.000007,-6.980416,8.026276,-0.000007,-0.000026,0.000032
1143.789381,599.357734,207.641363,0.268373,0.699582,0.001337,-0.104738,0.000026,-0.000053,-0.000006,-6.980867,8.040270,-0.000006,-0.000055,0.000021
1145.789242,600.887834,208.929087,0.265698,0.699634,0.001232,-0.104750,0.000017,-0.000072,-0.000004,-6.988333,8.050230,-0.000004,-0.000074,0.000009
1147.789080,602.417855,210.216868,0.263233,0.699669,0.001087,-0.104758,0.000007,-0.000080,-0.000001,-7.002872,8.057880,-0.000001,-0.000080,-0.000002
1149.788898,603.947824,211.504681,0.261058,0.699682,0.000927,-0.104761,-0.000004,-0.000076,0.000001,-7.024751,8.062804,0.000001,-0.000075,-0.000012
1151.788700,605.477770,212.792496,0.259205,0.699675,0.000775,-0.104759,-0.000016,-0.000064,0.000004,-7.054014,8.064627,0.000005,-0.000062,-0.000022
1153.788490,607.007724,214.080285,0.257655,0.699643,0.000648,-0.104750,-0.000027,-0.000046,0.000008,-7.086724,8.059999,0.000008,-0.000043,-0.000032
1155.788272,608.537719,215.368012,0.256360,0.699589,0.000556,-0.104735,-0.000039,-0.000027,0.000009,-7.119124,8.048350,0.000009,-0.000023,-0.000042
1157.788048,610.067786,216.655644,0.255250,0.699510,0.000501,-0.104717,-0.000050,-0.000012,0.000009,-7.146407,8.034135,0.000009,-0.000007,-0.000051
1159.787822,611.597958,217.943149,0.254250,0.699410,0.000477,-0.104700,-0.000060,-0.000002,0.000007,-7.164231,8.017597,0.000007,0.000004,-0.000059
1161.787594,613.128265,219.230492,0.253298,0.699291,0.000474,-0.104686,-0.000069,0.000001,0.000005,-7.175108,7.999936,0.000005,0.000008,-0.000068
1163.787365,614.658728,220.517645,0.252354,0.699153,0.000475,-0.104676,-0.000077,-0.000002,0.000003,-7.181446,7.982663,0.000003,0.000006,-0.000076
1165.787137,616.189376,221.804581,0.251408,0.699000,0.000470,-0.104671,-0.000084,-0.000010,0.000000,-7.184448,7.967147,0.000000,-0.000001,-0.000085
1167.786910,617.720227,223.091277,0.250472,0.698831,0.000451,-0.104670,-0.000091,-0.000018,-0.000001,-7.186820,7.953565,-0.000001,-0.000009,-0.000092
1169.786686,619.251301,224.377711,0.249574,0.698650,0.000415,-0.104671,-0.000097,-0.000026,-0.000002,-7.190158,7.936318,-0.000002,-0.000015,-0.000099
1171.786464,620.782617,225.663863,0.248750,0.698455,0.000363,-0.104676,-0.000104,-0.000029,-0.000003,-7.195721,7.917035,-0.000003,-0.000018,-0.000106
1173.786246,622.314189,226.949714,0.248030,0.698247,0.000305,-0.104681,-0.000110,-0.000029,-0.000002,-7.205599,7.897740,-0.000002,-0.000017,-0.000113
1175.786034,623.846037,228.235246,0.247426,0.698027,0.000247,-0.104684,-0.000118,-0.000023,-0.000002,-7.219961,7.877723,-0.000002,-0.000011,-0.000120
1177.785825,625.378175,229.520437,0.246938,0.697791,0.000201,-0.104688,-0.000124,-0.000014,-0.000001,-7.236466,7.856289,-0.000001,-0.000001,-0.000125
1179.785621,626.910625,230.805266,0.246543,0.697542,0.000174,-0.104689,-0.000132,0.000000,-0.000000,-7.252913,7.834252,-0.000000,0.000014,-0.000131
