s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1636.060731,-627.485707,-1067.414493,84.645605,2.768049,-0.125265,0.003926,0.000373,-0.000044,-0.000098,-2.729036,5.429296,-0.000051,-0.000043,0.000370
1638.061370,-629.333926,-1066.690502,84.895565,2.768795,-0.125353,0.003730,0.000347,-0.000044,-0.000099,-2.656924,5.489322,-0.000056,-0.000043,0.000344
1640.061854,-631.182510,-1065.967927,85.145681,2.769488,-0.125442,0.003531,0.000323,-0.000042,-0.000100,-2.585784,5.548096,-0.000059,-0.000041,0.000321
1642.062191,-633.031431,-1065.246674,85.395954,2.770135,-0.125526,0.003332,0.000300,-0.000039,-0.000097,-2.518893,5.605192,-0.000060,-0.000038,0.000298
1644.062387,-634.880658,-1064.526654,85.646376,2.770736,-0.125605,0.003137,0.000279,-0.000035,-0.000092,-2.456160,5.660537,-0.000057,-0.000034,0.000276
1646.062454,-636.730173,-1063.807777,85.896938,2.771293,-0.125675,0.002953,0.000260,-0.000031,-0.000085,-2.396466,5.715309,-0.000052,-0.000031,0.000258
1648.062403,-638.579954,-1063.089960,86.147624,2.771813,-0.125738,0.002783,0.000242,-0.000028,-0.000076,-2.336939,5.769387,-0.000046,-0.000027,0.000240
1650.062248,-640.429991,-1062.373133,86.398422,2.772297,-0.125793,0.002630,0.000227,-0.000025,-0.000067,-2.278137,5.822797,-0.000039,-0.000024,0.000226
1652.062007,-642.280278,-1061.657223,86.649319,2.772752,-0.125843,0.002496,0.000215,-0.000022,-0.000060,-2.221613,5.874292,-0.000033,-0.000021,0.000213
1654.061697,-644.130809,-1060.942170,86.900304,2.773181,-0.125886,0.002376,0.000204,-0.000018,-0.000055,-2.166664,5.924907,-0.000029,-0.000017,0.000202
1656.061338,-645.981587,-1060.227922,87.151370,2.773589,-0.125922,0.002266,0.000196,-0.000016,-0.000050,-2.113936,5.973174,-0.000026,-0.000015,0.000195
1658.060954,-647.832622,-1059.514432,87.402503,2.773981,-0.125953,0.002165,0.000191,-0.000011,-0.000048,-2.063494,6.019840,-0.000024,-0.000011,0.000189
1660.060565,-649.683922,-1058.801668,87.653696,2.774363,-0.125975,0.002069,0.000189,-0.000010,-0.000046,-2.013060,6.066078,-0.000022,-0.000009,0.000188
1662.060195,-651.535506,-1058.089603,87.904936,2.774741,-0.125994,0.001978,0.000189,-0.000007,-0.000044,-1.963799,6.110691,-0.000020,-0.000007,0.000187
1664.059865,-653.387390,-1057.378223,88.156219,2.775119,-0.126008,0.001890,0.000192,-0.000009,-0.000041,-1.916358,6.152388,-0.000016,-0.000008,0.000191
1666.059601,-655.239602,-1056.667524,88.407538,2.775503,-0.126025,0.001809,0.000200,-0.000015,-0.000037,-1.873670,6.188275,-0.000012,-0.000015,0.000198
1668.059423,-657.092165,-1055.957513,88.658901,2.775902,-0.126056,0.001734,0.000209,-0.000025,-0.000035,-1.836527,6.211308,-0.000009,-0.000025,0.000208
1670.059347,-658.945102,-1055.248217,88.910339,2.776321,-0.126106,0.001663,0.000223,-0.000037,-0.000036,-1.801551,6.226895,-0.000008,-0.000037,0.000222
1672.059397,-660.798445,-1054.539668,89.161891,2.776768,-0.126180,0.001592,0.000241,-0.000050,-0.000035,-1.766521,6.242964,-0.000005,-0.000049,0.000239
1674.059580,-662.652215,-1053.831921,89.413607,2.777249,-0.126279,0.001522,0.000260,-0.000066,-0.000032,-1.732710,6.255898,0.000001,-0.000066,0.000259
1676.059903,-664.506439,-1053.125042,89.665538,2.777770,-0.126411,0.001457,0.000286,-0.000085,-0.000028,-1.701868,6.264358,0.000008,-0.000085,0.000284
1678.060372,-666.361143,-1052.419112,89.917750,2.778342,-0.126582,0.001402,0.000314,-0.000108,-0.000022,-1.674114,6.268457,0.000018,-0.000108,0.000312
1680.060982,-668.216351,-1051.714233,90.170318,2.778970,-0.126798,0.001359,0.000347,-0.000132,-0.000017,-1.648727,6.270644,0.000027,-0.000131,0.000345
1682.061729,-670.072088,-1051.010519,90.423334,2.779664,-0.127062,0.001325,0.000384,-0.000154,-0.000013,-1.624806,6.270843,0.000035,-0.000153,0.000381
1684.062592,-671.928370,-1050.308111,90.676889,2.780433,-0.127370,0.001298,0.000425,-0.000173,-0.000011,-1.598796,6.273929,0.000043,-0.000172,0.000422
1686.063555,-673.785225,-1049.607158,90.931068,2.781284,-0.127715,0.001276,0.000471,-0.000186,-0.000008,-1.573908,6.277415,0.000052,-0.000186,0.000467
1688.064587,-675.642673,-1048.907833,91.185942,2.782226,-0.128089,0.001259,0.000522,-0.000197,-0.000004,-1.550424,6.278801,0.000063,-0.000196,0.000518
