s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
5412.455270,202.101619,-541.751505,3.089562,1.279937,-0.029802,-0.014196,0.000408,0.000527,-0.001489,-4.526911,4.526911,-0.001477,0.000521,0.000415
5413.503127,202.402350,-540.748215,3.120792,1.280365,-0.029249,-0.015756,0.000832,0.000834,-0.001675,-4.527515,4.527515,-0.001651,0.000821,0.000845
5414.550980,202.702623,-539.744775,3.151444,1.281237,-0.028375,-0.017512,0.001180,0.000165,-0.001867,-4.527440,4.527440,-0.001834,0.000144,0.001183
5415.598825,203.001543,-538.740912,3.181169,1.282473,-0.028202,-0.019468,0.001404,0.000036,-0.002074,-4.527487,4.527487,-0.002035,0.000009,0.001403
5416.640436,203.296617,-537.742401,3.210520,1.283935,-0.028165,-0.021629,0.001859,-0.000306,-0.002175,-4.526849,4.526849,-0.002123,-0.000346,0.001851
5417.682044,203.590551,-536.743556,3.239838,1.285872,-0.028484,-0.023894,0.002230,-0.001090,-0.002211,-4.525868,4.525868,-0.002147,-0.001143,0.002202
5418.723646,203.882397,-535.744116,3.269483,1.288195,-0.029619,-0.026197,0.004298,-0.001552,-0.002088,-4.525062,4.525062,-0.001961,-0.001664,0.004254
5419.752801,204.167946,-534.755836,3.299929,1.292618,-0.031216,-0.028346,0.006825,-0.000924,-0.001838,-4.524581,4.524581,-0.001625,-0.001117,0.006793
5420.769522,204.445866,-533.778351,3.331631,1.299557,-0.032156,-0.030215,0.006681,-0.000341,-0.001724,-4.525550,4.525550,-0.001509,-0.000542,0.006664
5421.786247,204.717363,-532.799091,3.364297,1.306350,-0.032502,-0.031968,0.009717,0.000612,-0.001874,-4.526963,4.526963,-0.001558,0.000301,0.009727
5422.778049,204.976192,-531.842200,3.396519,1.315988,-0.031895,-0.033826,0.010090,0.000261,-0.001894,-4.532741,4.532741,-0.001572,-0.000080,0.010088
5423.776034,205.230355,-530.877650,3.428427,1.326058,-0.031634,-0.035716,0.009255,0.000069,-0.001782,-4.543562,4.543562,-0.001489,-0.000262,0.009247
5424.792670,205.480624,-529.892828,3.460708,1.335466,-0.031564,-0.037527,0.013286,0.000209,-0.002036,-4.557191,4.557191,-0.001617,-0.000289,0.013278
5425.784397,205.713613,-528.929369,3.492066,1.348642,-0.031357,-0.039546,0.013733,-0.000260,-0.002171,-4.570029,4.570029,-0.001740,-0.000802,0.013705
5426.769931,205.932020,-527.968838,3.523010,1.362176,-0.031614,-0.041686,0.008782,-0.002125,-0.001931,-4.578388,4.578388,-0.001654,-0.002489,0.008682
5427.774145,206.141778,-526.987291,3.554816,1.370996,-0.033748,-0.043625,0.015127,-0.002756,-0.001949,-4.588630,4.588630,-0.001439,-0.003413,0.014983
